Voting ID,Voting Date,Voting PDF URL,Expected number of Target Votes
81-63,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_63,451
81-64,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_64,448
81-65,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_65,449
81-66,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_66,449
81-67,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_67,449
81-68,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_68,445
81-69,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_69,439
81-70,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_70,437
81-71,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_71,449
81-72,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_72,451
81-73,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_73,451
81-74,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_74,449
81-75,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_75,448
81-76,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_76,441
81-77,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_77,448
81-78,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_78,448
81-79,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_79,438
81-80,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_80,446
81-81,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_81,444
81-82,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_82,447
81-83,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_83,444
81-84,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_84,447
81-85,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_85,438
81-86,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_86,450
81-87,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_87,447
81-88,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_88,448
81-89,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_89,439
81-90,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_90,448
81-91,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_91,450
81-92,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_92,449
81-93,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_93,449
81-94,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_94,447
81-95,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_95,441
81-96,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_96,446
81-97,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_97,438
81-98,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_98,447
81-99,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_99,435
81-100,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_100,438
81-101,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_101,446
81-102,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_102,439
81-103,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_103,445
81-104,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_104,450
81-105,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_105,437
81-106,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_106,448
81-107,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_107,450
81-108,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_108,449
81-109,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_109,443
81-110,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_110,445
81-111,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_111,448
81-112,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_112,437
81-113,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_113,449
81-114,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_114,449
81-115,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_115,449
81-116,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_116,446
81-117,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_117,450
81-118,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_118,443
81-119,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_119,448
81-120,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_120,450
81-121,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_121,447
81-122,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_122,449
81-123,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_123,448
81-124,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_124,443
81-125,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_125,448
81-126,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_126,444
81-127,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_127,447
81-128,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_128,448
81-129,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_129,448
81-130,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_130,450
81-131,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_131,428
81-132,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_132,450
81-133,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_133,417
81-134,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_134,434
81-135,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_135,434
81-136,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_136,434
81-137,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_137,435
81-138,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_138,399
81-139,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_139,431
81-140,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_140,432
81-141,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_141,400
81-142,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_142,408
81-143,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_143,436
81-144,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_144,442
81-145,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_145,431
81-146,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_146,434
81-147,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_147,406
81-148,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_148,443
81-149,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_149,438
81-150,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_150,431
81-151,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_151,387
81-152,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_152,447
81-153,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_153,443
81-154,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_154,440
81-155,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_155,444
81-156,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_156,286
81-157,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_157,445
81-158,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_158,409
81-159,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_159,409
81-160,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_160,444
81-161,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_161,443
81-162,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_162,442
81-163,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_163,444
81-164,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_164,430
81-165,17.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_165,407
81-166,30.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_166,443
81-167,30.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_167,441
81-168,30.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_168,448
81-169,30.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_169,447
81-170,30.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_170,442
81-171,30.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_171,448
81-172,30.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_172,447
81-173,30.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_173,448
81-174,30.08.2023,http://orka.sejm.gov.pl/Glos9.nsf/dok?OpenAgent&81_174,438
